Fullname with number,Lat,Long,,ID,Fullname,ID with all,Name,Place
"162  Sliding Rock, Fall River, MA",41.693686,-71.126327,,162,"Sliding Rock, Fall River, MA",165,Sliding Rock,"Fall River, MA"
"163  Quimby's Pillow, Gorham, NH",44.08128,-71.119835,,163,"Quimby's Pillow, Gorham, NH",166,Quimby's Pillow,"Gorham, NH"
"164  Dighton Rock, Dighton Rock Museum, Berkely, MA",41.812934,-71.110424,,164,"Dighton Rock, Dighton Rock Museum, Berkely, MA",167,Dighton Rock,"Dighton Rock Museum, Berkely, MA"
"165  Washington Boulder, Conway, NH",44.004418,-71.107877,,165,"Washington Boulder, Conway, NH",168,Washington Boulder,"Conway, NH"
"166  Elephant Rock, Andover, MA",42.645363,-71.092025,,166,"Elephant Rock, Andover, MA",169,Elephant Rock,"Andover, MA"
"167  Fairview Rock, Neponset, MA",42.292084,-71.046092,,167,"Fairview Rock, Neponset, MA",170,Fairview Rock,"Neponset, MA"
"168  Ordway Boulder, Byfield, MA",42.748805,-71.024753,,168,"Ordway Boulder, Byfield, MA",171,Ordway Boulder,"Byfield, MA"
"169  Cradle Rock, Groveland, MA",42.749393,-71.017956,,169,"Cradle Rock, Groveland, MA",172,Cradle Rock,"Groveland, MA"
"170  Wigwam Rock, Peabody, MA",42.520576,-70.981956,,170,"Wigwam Rock, Peabody, MA",173,Wigwam Rock,"Peabody, MA"
"171  Phaeton Rock / Cannon Rock, Lynn, MA",42.50373,-70.96862,,171,"Phaeton Rock / Cannon Rock, Lynn, MA",174,Phaeton Rock / Cannon Rock,"Lynn, MA"
"172  The Weymouth Sphinx, Weymouth, MA",42.207964,-70.963044,,172,"The Weymouth Sphinx, Weymouth, MA",175,The Weymouth Sphinx,"Weymouth, MA"
"173  Ship Rock, Peabody, MA",42.520115,-70.957314,,173,"Ship Rock, Peabody, MA",176,Ship Rock,"Peabody, MA"
"174  House Rock, House Rock Park, Weymouth, MA",42.214334,-70.945019,,174,"House Rock, House Rock Park, Weymouth, MA",177,House Rock,"House Rock Park, Weymouth, MA"
"175  Perched Rock, Weymouth, MA",42.179041,-70.923129,,175,"Perched Rock, Weymouth, MA",178,Perched Rock,"Weymouth, MA"
"176  Hand Rock, Middleborough, MA",41.900977,-70.891926,,176,"Hand Rock, Middleborough, MA",179,Hand Rock,"Middleborough, MA"
"177  Carsey's Rock, Newbury, MA",42.758691,-70.869627,,177,"Carsey's Rock, Newbury, MA",180,Carsey's Rock,"Newbury, MA"
"178  Bouve Boulder, Hingham, MA",42.249526,-70.867986,,178,"Bouve Boulder, Hingham, MA",181,Bouve Boulder,"Hingham, MA"
"179  Haystack Boulder, Newbury, MA",42.76779,-70.846991,,179,"Haystack Boulder, Newbury, MA",182,Haystack Boulder,"Newbury, MA"
"180  Burbank Boulder, Wompatuck State Park, Hingham, MA",42.20515,-70.844006,,180,"Burbank Boulder, Wompatuck State Park, Hingham, MA",183,Burbank Boulder,"Wompatuck State Park, Hingham, MA"
"181  Witch Rock, Rochester, MA",41.726564,-70.839939,,181,"Witch Rock, Rochester, MA",184,Witch Rock,"Rochester, MA"
"182  Split Rock, Mattapoisett, MA",41.655991,-70.82144,,182,"Split Rock, Mattapoisett, MA",185,Split Rock,"Mattapoisett, MA"
"183  Bung-stopper Rock, Beverly, MA",42.592991,-70.820263,,183,"Bung-stopper Rock, Beverly, MA",186,Bung-stopper Rock,"Beverly, MA"
"184  Toad Rock, Aquinna, MA",41.319407,-70.803577,,184,"Toad Rock, Aquinna, MA",187,Toad Rock,"Aquinna, MA"
"185  Agassiz Rock / Sunset Rock, Manchester-by-the-Sea, MA",42.596485,-70.766345,,185,"Agassiz Rock / Sunset Rock, Manchester-by-the-Sea, MA",188,Agassiz Rock / Sunset Rock,"Manchester-by-the-Sea, MA"
"186  Split Rock, Marion, MA",41.699178,-70.765228,,186,"Split Rock, Marion, MA",189,Split Rock,"Marion, MA"
"187  The Sugar Loaf, Chilmark, MA",41.357547,-70.750104,,187,"The Sugar Loaf, Chilmark, MA",190,The Sugar Loaf,"Chilmark, MA"
"188  Stonecutter's Rock, Chilmark, MA",41.356502,-70.738917,,188,"Stonecutter's Rock, Chilmark, MA",191,Stonecutter's Rock,"Chilmark, MA"
"189  The Devil's Bed, Chilmark, MA",41.35273,-70.735555,,189,"The Devil's Bed, Chilmark, MA",192,The Devil's Bed,"Chilmark, MA"
"190  Wakosim's Rock, Chilmark, MA",41.395891,-70.703448,,190,"Wakosim's Rock, Chilmark, MA",193,Wakosim's Rock,"Chilmark, MA"
"191  Tilting Rock, Annisquam, MA",42.657502,-70.67705,,191,"Tilting Rock, Annisquam, MA",194,Tilting Rock,"Annisquam, MA"
"192  Plymouth Rock, Plymouth, MA",41.958068,-70.662112,,192,"Plymouth Rock, Plymouth, MA",195,Plymouth Rock,"Plymouth, MA"
"193  Babson Boulders, Dogtown, MA",42.636492,-70.661022,,193,"Babson Boulders, Dogtown, MA",196,Babson Boulders,"Dogtown, MA"
"194  Raccoon Rocks, Gloucester, MA",42.64932,-70.639782,,194,"Raccoon Rocks, Gloucester, MA",197,Raccoon Rocks,"Gloucester, MA"
"195  Shade Rock, Menemsha, MA",41.440703,-70.630554,,195,"Shade Rock, Menemsha, MA",198,Shade Rock,"Menemsha, MA"
"196  Rumford Erratic, Rumford, ME",44.512253,-70.619815,,196,"Rumford Erratic, Rumford, ME",199,Rumford Erratic,"Rumford, ME"
"197  White Horse Rock / Flag Rock, White Horse Beach, Manomet, MA",41.935881,-70.558809,,197,"White Horse Rock / Flag Rock, White Horse Beach, Manomet, MA",200,White Horse Rock / Flag Rock,"White Horse Beach, Manomet, MA"
"198  Dagget Rock, Phillips, ME",44.848548,-70.304896,,198,"Dagget Rock, Phillips, ME",201,Dagget Rock,"Phillips, ME"
"199  Hokum Rock, Dennis, MA",41.732467,-70.172583,,199,"Hokum Rock, Dennis, MA",202,Hokum Rock,"Dennis, MA"
"200  Doane Rock, Salt Pond, Eastham, MA",41.84445,-69.95782,,200,"Doane Rock, Salt Pond, Eastham, MA",203,Doane Rock,"Salt Pond, Eastham, MA"
"201  Katahdin Erratic, Baxter State Park, Millinocket, ME",45.78365,-68.97425,,201,"Katahdin Erratic, Baxter State Park, Millinocket, ME",204,Katahdin Erratic,"Baxter State Park, Millinocket, ME"
"202  Bubble Rock, Acadia National Park, Bar Harbor, ME",44.342778,-68.256111,,202,"Bubble Rock, Acadia National Park, Bar Harbor, ME",205,Bubble Rock,"Acadia National Park, Bar Harbor, ME"
"203  The Jelly Bean, Mt. Desert Island, Bar Harbor, ME",44.352823,-68.224132,,203,"The Jelly Bean, Mt. Desert Island, Bar Harbor, ME",206,The Jelly Bean,"Mt. Desert Island, Bar Harbor, ME"
"204  Tunk Giants, Tunk Lake, ME",44.600967,-68.052083,,204,"Tunk Giants, Tunk Lake, ME",207,Tunk Giants,"Tunk Lake, ME"
"205  Gibraltar Rock, Campobello Island, NB",44.867883,-66.937717,,205,"Gibraltar Rock, Campobello Island, NB",208,Gibraltar Rock,"Campobello Island, NB"
"206  Island's Erratic, Shelburne, NS",43.76525,-65.33795,,206,"Island's Erratic, Shelburne, NS",209,Island's Erratic,"Shelburne, NS"
"207  Pocket Erratic, Port L'Hebert, NS",43.874317,-64.9631,,207,"Pocket Erratic, Port L'Hebert, NS",210,Pocket Erratic,"Port L'Hebert, NS"
"208  Kidston Lake Rocking Stone, Spryfield, NS",44.595783,-63.6178,,208,"Kidston Lake Rocking Stone, Spryfield, NS",211,Kidston Lake Rocking Stone,"Spryfield, NS"
"209  Lord & Lady Gulch Erratic, Change Islands, CA",49.6816,-54.41735,,209,"Lord & Lady Gulch Erratic, Change Islands, CA",212,Lord & Lady Gulch Erratic,"Change Islands, CA"
"210  The Lantern, Fergus Island, Bay Roberts, Newfoundland",47.607699,-53.22458,,210,"The Lantern, Fergus Island, Bay Roberts, Newfoundland",213,The Lantern,"Fergus Island, Bay Roberts, Newfoundland"
